step	status	detail
init	pass	ts=20260222T200027Z
qa_bin	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa
standalone_exec	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/LocusQ_artefacts/Release/Standalone/LocusQ.app/Contents/MacOS/LocusQ
qa_downmix_a	pass	qa/scenarios/locusq_bl009_headphone_downmix_reference.json
qa_downmix_b	pass	qa/scenarios/locusq_bl009_headphone_downmix_reference.json
qa_steam_a	pass	qa/scenarios/locusq_bl009_headphone_steam_request.json
qa_steam_b	pass	qa/scenarios/locusq_bl009_headphone_steam_request.json
determinism_downmix	pass	0e6c96dd6e0ee2c6ae654b0d768bbb2adc56420103b22dd9513f89f26d2f4ccb
determinism_steam_request	pass	0f6f56d418470c92563a598549fa64dc49520e721de190364924a7753c9e9240
ui_selftest_bl009	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl009_headphone_contract_20260222T200027Z/ui_selftest_bl009.log
ui_selftest_bl009_check	pass	request=steam_binaural active=steam_binaural steamAvailable=true steamCompiled=true stage=ready err=0 lib=/Users/artbox/Documents/Repos/LocusQ/third_party/steam-audio/sdk/steamaudio/lib/osx/libphonon.dylib
cross_mode_divergence	pass	steamAvailable=true hashes_diverge
summary	pass	report=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl009_headphone_contract_20260222T200027Z/report.md
