step	status	detail
init	pass	ts=20260223T020844Z
qa_bin	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa
standalone_exec	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/LocusQ_artefacts/Release/Standalone/LocusQ.app/Contents/MacOS/LocusQ
qa_generic_a	pass	qa/scenarios/locusq_bl009_headphone_profile_generic.json
qa_generic_b	pass	qa/scenarios/locusq_bl009_headphone_profile_generic.json
qa_airpods	pass	qa/scenarios/locusq_bl009_headphone_profile_airpods.json
qa_sony	pass	qa/scenarios/locusq_bl009_headphone_profile_sony.json
determinism_generic_profile	pass	0e6c96dd6e0ee2c6ae654b0d768bbb2adc56420103b22dd9513f89f26d2f4ccb
profile_airpods_divergence	pass	0e6c96dd6e0ee2c6ae654b0d768bbb2adc56420103b22dd9513f89f26d2f4ccb vs 52047bc14aadb57855dcbbf882df23d3715f92477114ada17091f3b4f53b04e8
profile_sony_divergence	pass	0e6c96dd6e0ee2c6ae654b0d768bbb2adc56420103b22dd9513f89f26d2f4ccb vs c53458387145642efe09ca79c3d139a5ac9a074c2de974aeb04c068654659757
profile_airpods_vs_sony	pass	52047bc14aadb57855dcbbf882df23d3715f92477114ada17091f3b4f53b04e8 vs c53458387145642efe09ca79c3d139a5ac9a074c2de974aeb04c068654659757
ui_selftest_bl009	fail	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl009_headphone_profile_contract_20260223T020844Z/ui_selftest_bl009.log
