step	status	detail
init	pass	ts=20260223T032313Z
build_dir	pass	/Users/artbox/Documents/Repos/LocusQ/build_local
nonclap_build_dir	pass	/Users/artbox/Documents/Repos/LocusQ/build_no_clap_check
configure_clap	pass	starting
cmake_configure_clap	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/cmake_configure_clap.log
cmake_build_clap_target	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/cmake_build_clap_target.log
cmake_build_qa_target	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/cmake_build_qa_target.log
cmake_build_standalone_target	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/cmake_build_standalone_target.log
clap_artifact	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/LocusQ_artefacts/Release/CLAP/LocusQ.clap
clap_install_artifact	pass	/Users/artbox/Library/Audio/Plug-Ins/CLAP/LocusQ.clap
standalone_artifact	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/LocusQ_artefacts/Release/Standalone/LocusQ.app
standalone_sync_for_selftest	warn	sync_failed_using_existing_install; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/standalone_sync_for_selftest.log
standalone_selftest_app	pass	/Users/artbox/Applications/LocusQ.app
qa_binary	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa
tool_clap-info	pass	/Users/artbox/.local/bin/clap-info
tool_clap-validator	pass	/Users/artbox/.local/bin/clap-validator
clap_info	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/clap-info.json
clap_validator	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/clap-validator.txt
qa_smoke_suite	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/qa_smoke_suite.log
qa_phase_2_6_acceptance_suite	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/qa_phase_2_6_acceptance_suite.log
ui_selftest_bl011_try_1	fail	missing_artifact; exit=1; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/ui_selftest_bl011_try_1.log
ui_selftest_bl011_try_2	fail	missing_artifact; exit=1; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032313Z/ui_selftest_bl011_try_2.log
