step	status	detail
tool_jq	pass	/usr/bin/jq
manifest_json	pass	/Users/artbox/Documents/Repos/LocusQ/qa/scenarios/locusq_hx04_required_scenarios.json
suite_json	pass	/Users/artbox/Documents/Repos/LocusQ/qa/scenarios/locusq_hx04_component_parity_suite.json
manifest_id	pass	locusq_hx04_required_scenarios
suite_id	pass	locusq_hx04_component_parity_suite
minimum_suite_membership	pass	1
scenario_membership_locusq_air_absorption_distance	pass	component=AirAbsorption; suite_count=1; required_suite=locusq_hx04_component_parity_suite
scenario_membership_locusq_calibration_sweep_capture	pass	component=CalibrationEngine; suite_count=1; required_suite=locusq_hx04_component_parity_suite
scenario_membership_locusq_emit_dir_spatial_effect	pass	component=DirectivityFilter; suite_count=1; required_suite=locusq_hx04_component_parity_suite
scenario_membership_locusq_directivity_aim	pass	component=DirectivityFilter; suite_count=1; required_suite=locusq_hx04_component_parity_suite
required_suite_locusq_hx04_component_parity_suite	pass	/Users/artbox/Documents/Repos/LocusQ/qa/scenarios/locusq_hx04_component_parity_suite.json
qa_bin	pass	build_bl010/locusq_qa_artefacts/Release/locusq_qa
suite_output_dir	pass	qa_output/locusq_hx04_component_parity
suite_run	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl012_harness_backport_20260223T172301Z/hx04_scenario_audit/hx04_component_parity_suite.log
suite_result_json	pass	/Users/artbox/Documents/Repos/LocusQ/qa_output/locusq_hx04_component_parity/suite_result.json
suite_assert	warn	status=PASS; pass=3; warn=1; fail=0; error=0
artifact_snapshots	pass	manifest+suite snapshots copied
