step	status	detail
init	pass	ts=20260223T173057Z
config	pass	build_dir=/Users/artbox/Documents/Repos/LocusQ/build_bl013_hostrunner; build_config=Release; build_jobs=8; enable_clap=0; run_harness_host_tests=1; skip_build=0; harness_path=/Users/artbox/Documents/Repos/audio-dsp-qa-harness
tool_cmake	pass	/opt/homebrew/bin/cmake
tool_ctest	pass	/opt/homebrew/bin/ctest
tool_jq	pass	/usr/bin/jq
harness_path	pass	/Users/artbox/Documents/Repos/audio-dsp-qa-harness
harness_configure	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/harness_configure.log
harness_build	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/harness_build.log
harness_host_ctest	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/harness_host_ctest.log
locusq_configure	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/locusq_configure.log
locusq_build	pass	targets=locusq_qa,LocusQ_VST3; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/locusq_build.log
qa_bin	pass	/Users/artbox/Documents/Repos/LocusQ/build_bl013_hostrunner/locusq_qa_artefacts/Release/locusq_qa
vst3_plugin_path	pass	/Users/artbox/Documents/Repos/LocusQ/build_bl013_hostrunner/LocusQ_artefacts/Release/VST3/LocusQ.vst3
hostrunner_vst3_probe	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/hostrunner_vst3_probe.log
hostrunner_vst3_artifacts	pass	dry=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/hostrunner_vst3_output/dry.wav; wet=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/hostrunner_vst3_output/wet.wav
hostrunner_vst3_skeleton_probe	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl013_hostrunner_feasibility_20260223T173057Z/hostrunner_vst3_skeleton_probe.log
