step	status	detail
init	pass	ts=20260222T204516Z
mode	pass	strict_integration=0; run_binaural_runtime=1; run_profile_matrix=1
python3	pass	/opt/homebrew/bin/python3
jq	pass	/usr/bin/jq
qa_bin	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa
reference_contract	pass	quad_a=f77d8e9d8ed1ae7a0e671546b431e0fabf4a890313d97771cfcf1e8b12cbe2f2; quad_b=f77d8e9d8ed1ae7a0e671546b431e0fabf4a890313d97771cfcf1e8b12cbe2f2; bin=56831e3576a0614a53b5bb80d8d428c099e179de8a87af29ec31fbe5c41ab0ab
integration_probe	pass	ambisonic_markers_present
profile_virtual3d_stereo	pass	scenario=qa/scenarios/locusq_bl018_profile_virtual3d_stereo.json; channels=2; hash=bd0eb77014addfb1bc5c0ab3efa8746444d79cef2c3742b4e0ec4534c5945d44
profile_ambi_foa	pass	scenario=qa/scenarios/locusq_bl018_profile_ambi_foa.json; channels=4; hash=344897d45b654c841077dd13de78e5d199d4a6f169065782e9aff37840ed9e0d
profile_ambi_hoa	pass	scenario=qa/scenarios/locusq_bl018_profile_ambi_hoa.json; channels=16; hash=cce67df5ffe91a2974f7dd5eedfad1af45db264e65ebbe52f5859d92d0428f11
profile_surround_521	pass	scenario=qa/scenarios/locusq_bl018_profile_surround_521.json; channels=8; hash=b8bc895799ab3012534daaa08c6271775a78b5513c1e30856b97c7050dc9cbe9
profile_surround_721	pass	scenario=qa/scenarios/locusq_bl018_profile_surround_721.json; channels=10; hash=a26adafa4ff9e4090d53019345499c62068103e504da777e9389ca87ee26a865
profile_surround_742	pass	scenario=qa/scenarios/locusq_bl018_profile_surround_742.json; channels=13; hash=94fafdd533ae71b62660e53a66257b845ca68dc3fc2666faf34c3e6eb7af8599
profile_codec_iamf	pass	scenario=qa/scenarios/locusq_bl018_profile_codec_iamf.json; channels=13; hash=94fafdd533ae71b62660e53a66257b845ca68dc3fc2666faf34c3e6eb7af8599
profile_codec_adm	pass	scenario=qa/scenarios/locusq_bl018_profile_codec_adm.json; channels=13; hash=94fafdd533ae71b62660e53a66257b845ca68dc3fc2666faf34c3e6eb7af8599
binaural_runtime_contract	pass	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl009_headphone_contract_20260222T204517Z
