step	status	detail
init	pass	ts=20260223T030210Z
run_count	pass	3
require_locusq	pass	1
reaper_bin	pass	/Applications/REAPER.app/Contents/MacOS/REAPER
preflight_jq	pass	jq_available
build_install	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl024_reaper_automation_20260223T030210Z/build_install.log
post_install_reaper_running	pass	reaper_not_running
headless_run_1	pass	renderAttempts=1; renderExitCode=0; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T030321Z/status.json
headless_run_2	pass	renderAttempts=1; renderExitCode=0; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T030324Z/status.json
headless_run_3	pass	renderAttempts=1; renderExitCode=0; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T030326Z/status.json
summary	pass	report=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl024_reaper_automation_20260223T030210Z/report.md
