file	line	pattern	severity	allowlisted	snippet
Source/PluginProcessor.cpp	969	HEAP_ALLOC	high	true	 // intentional and acceptable in this lock-free multi-reader design.
Source/PluginProcessor.cpp	3143	HEAP_ALLOC	high	true	 juce::var resultVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3301	HEAP_ALLOC	high	true	 juce::var statusVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3339	HEAP_ALLOC	high	true	 juce::var headphoneCalibrationVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3419	HEAP_ALLOC	high	true	 juce::var timelineVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3431	HEAP_ALLOC	high	true	 juce::var trackVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3438	HEAP_ALLOC	high	true	 juce::var keyframeVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3886	HEAP_ALLOC	high	true	 juce::var presetVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3895	HEAP_ALLOC	high	true	 juce::var layoutVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3903	HEAP_ALLOC	high	true	 juce::var parametersVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3985	HEAP_ALLOC	high	true	 juce::var profileVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	3992	HEAP_ALLOC	high	true	 juce::var contextVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	4011	HEAP_ALLOC	high	true	 juce::var controlsVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	4023	HEAP_ALLOC	high	true	 juce::var layoutVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	4105	HEAP_ALLOC	high	true	 juce::var entryVar (new juce::DynamicObject());
Source/PluginProcessor.cpp	4172	HEAP_ALLOC	high	true	 juce::var response (new juce::DynamicObject());
Source/PluginProcessor.cpp	4195	HEAP_ALLOC	high	true	 juce::var response (new juce::DynamicObject());
Source/PluginProcessor.cpp	4245	HEAP_ALLOC	high	true	 juce::var response (new juce::DynamicObject());
Source/PluginProcessor.cpp	4330	HEAP_ALLOC	high	true	 juce::var response (new juce::DynamicObject());
Source/PluginProcessor.cpp	4343	HEAP_ALLOC	high	true	 result->setProperty ("message", "Failed to delete preset file.");
Source/PluginProcessor.cpp	4369	HEAP_ALLOC	high	true	 juce::var entryVar (new juce::DynamicObject());
