run	preset_file	sample_rate_hz	max_abs_db_top_10pct_nyquist	nyquist_db	threshold_db	result	detail
2	airpods_pro_1_anc_on.yaml	44100	1.2008	-1.2000	3.0	PASS	ok
2	airpods_pro_1_anc_on.yaml	48000	1.2007	-1.2000	3.0	PASS	ok
2	airpods_pro_1_anc_on.yaml	96000	1.2001	-1.2000	3.0	PASS	ok
2	airpods_pro_1_anc_off.yaml	44100	0.8007	-0.8000	3.0	PASS	ok
2	airpods_pro_1_anc_off.yaml	48000	0.8006	-0.8000	3.0	PASS	ok
2	airpods_pro_1_anc_off.yaml	96000	0.8001	-0.8000	3.0	PASS	ok
2	airpods_pro_1_transparency.yaml	44100	1.1012	-1.1000	3.0	PASS	ok
2	airpods_pro_1_transparency.yaml	48000	1.1010	-1.1000	3.0	PASS	ok
2	airpods_pro_1_transparency.yaml	96000	1.1002	-1.1000	3.0	PASS	ok
2	airpods_pro_2_anc_on.yaml	44100	1.0008	-1.0000	3.0	PASS	ok
2	airpods_pro_2_anc_on.yaml	48000	1.0007	-1.0000	3.0	PASS	ok
2	airpods_pro_2_anc_on.yaml	96000	1.0001	-1.0000	3.0	PASS	ok
2	airpods_pro_2_anc_off.yaml	44100	0.9008	-0.9000	3.0	PASS	ok
2	airpods_pro_2_anc_off.yaml	48000	0.9006	-0.9000	3.0	PASS	ok
2	airpods_pro_2_anc_off.yaml	96000	0.9001	-0.9000	3.0	PASS	ok
2	airpods_pro_2_transparency.yaml	44100	1.0009	-1.0000	3.0	PASS	ok
2	airpods_pro_2_transparency.yaml	48000	1.0007	-1.0000	3.0	PASS	ok
2	airpods_pro_2_transparency.yaml	96000	1.0001	-1.0000	3.0	PASS	ok
2	airpods_pro_3_anc_on.yaml	44100	1.0008	-1.0000	3.0	PASS	ok
2	airpods_pro_3_anc_on.yaml	48000	1.0007	-1.0000	3.0	PASS	ok
2	airpods_pro_3_anc_on.yaml	96000	1.0001	-1.0000	3.0	PASS	ok
2	airpods_pro_3_anc_off.yaml	44100	0.9007	-0.9000	3.0	PASS	ok
2	airpods_pro_3_anc_off.yaml	48000	0.9006	-0.9000	3.0	PASS	ok
2	airpods_pro_3_anc_off.yaml	96000	0.9001	-0.9000	3.0	PASS	ok
2	airpods_pro_3_transparency.yaml	44100	1.0010	-1.0000	3.0	PASS	ok
2	airpods_pro_3_transparency.yaml	48000	1.0008	-1.0000	3.0	PASS	ok
2	airpods_pro_3_transparency.yaml	96000	1.0002	-1.0000	3.0	PASS	ok
2	sony_wh1000xm5_anc_on.yaml	44100	1.3413	-1.3000	3.0	PASS	ok
2	sony_wh1000xm5_anc_on.yaml	48000	1.3324	-1.3000	3.0	PASS	ok
2	sony_wh1000xm5_anc_on.yaml	96000	1.3062	-1.3000	3.0	PASS	ok
2	sony_wh1000xm5_anc_off.yaml	44100	0.0000	0.0000	3.0	PASS	ok
2	sony_wh1000xm5_anc_off.yaml	48000	0.0000	-0.0000	3.0	PASS	ok
2	sony_wh1000xm5_anc_off.yaml	96000	0.0000	0.0000	3.0	PASS	ok
