key	value	detail
profile_contract_hash	49df17ee7c6eb9c6358145f2fb15192d714a87baf23ea49dedcde6a796567aac	profile schema/value contract hash
cue_schedule_hash	d2fee347ef2dc98769fae45401f00dfaf5da09d571cf6be73651b3339ce2bef1	checkpoint schedule hash
artifact_contract_hash	2ad7979e47dbeadcb99203de53b1de7de13fc6cb815dc6f32e540e0be379e25d	artifact id/required contract hash
artifact_presence_hash	97a6a935868a8513a6342a3de182ba0ef537eeae846e71b2929e52cf9b987cae	artifact present/absent matrix hash
postprocess_contract_hash	8d045595063918ab193cbca5e085e26fe3561383bfa2c464df184c8381a043a3	checkpoint/contact-sheet/clip result contract hash
checkpoint_frame_map_hash	41ca60319a4a69af0df24fb53359bf5925cc222936640620997641b48686ca43	checkpoint-frame-map file hash
contact_sheets_index_hash	30874ccb72fa4a742590eeaf4903daad2eacd95add9af69c724fa0e8e2b117a1	contact-sheet index file hash
cue_window_clips_hash	d59e0393bec5558e9911cd5d56e663b40dd8f7162c09b4b7be50ed75c7b468e9	cue-window-clip index file hash
artifact_inventory_hash	a0b27c103b615d5dda39f83506fce0b7034d966ff6e49aeae64973a10c09f77c	full artifact inventory file hash
session_manifest_hash	c0d79f7af3db0e42988e3b7dc84a08c1bed40565c2f4e97274823640439fb945	session manifest hash
capture_script_hash	019656c28fe3f0fc4d4720f38053c2d13750230df5808ad5bb31d7519193e820	script file hash
cue_count	11	number of scheduled cues
