timestamp_ms	sequence	packet_count	readiness_state	send_gate_open	qx	qy	qz	qw	yaw_deg	pitch_deg	roll_deg	sensor_location	mode	connection	motion_norm	stability_norm
1773721296517	0	0	active_ready	false	0.043619	0.000000	0.000000	0.999048	0.0000	0.0000	5.0000	synthetic	synthetic	simulated	0.000000	1.000000
1773721296618	0	0	active_ready	false	0.043208	0.008914	0.047417	0.997900	5.4752	0.7846	4.9961	synthetic	synthetic	simulated	0.060836	0.978708
1773721296723	0	0	active_ready	false	0.042002	0.017675	0.093555	0.994571	10.8156	1.5643	4.9846	synthetic	synthetic	simulated	0.120173	0.957939
1773721296828	0	0	active_ready	false	0.040080	0.026142	0.137187	0.989389	15.8897	2.3345	4.9653	synthetic	synthetic	simulated	0.176552	0.938207
1773721296934	0	0	active_ready	false	0.037565	0.034196	0.177192	0.982864	20.5725	3.0902	4.9384	synthetic	synthetic	simulated	0.228583	0.919996
1773721297037	0	0	active_ready	false	0.034616	0.041747	0.212588	0.975636	24.7487	3.8268	4.9039	synthetic	synthetic	simulated	0.274986	0.903755
1773721297139	0	0	active_ready	false	0.031415	0.048736	0.242552	0.968404	28.3156	4.5399	4.8618	synthetic	synthetic	simulated	0.314618	0.889884
1773721297244	0	0	active_ready	false	0.028154	0.055138	0.266436	0.961862	31.1852	5.2250	4.8123	synthetic	synthetic	simulated	0.346503	0.878724
1773721297347	0	0	active_ready	false	0.025023	0.060948	0.283755	0.956631	33.2870	5.8779	4.7553	synthetic	synthetic	simulated	0.369855	0.870551
1773721297448	0	0	active_ready	false	0.022198	0.066181	0.294178	0.953198	34.5691	6.4945	4.6910	synthetic	synthetic	simulated	0.384101	0.865565
1773721297554	0	0	active_ready	false	0.019834	0.070861	0.297519	0.951876	35.0000	7.0711	4.6194	synthetic	synthetic	simulated	0.388889	0.863889
1773721297660	0	0	active_ready	false	0.018056	0.075009	0.293723	0.952772	34.5691	7.6041	4.5407	synthetic	synthetic	simulated	0.384101	0.865565
1773721297764	0	0	active_ready	false	0.016958	0.078640	0.282859	0.955782	33.2870	8.0902	4.4550	synthetic	synthetic	simulated	0.369855	0.870551
1773721297869	0	0	active_ready	false	0.016591	0.081753	0.265132	0.960597	31.1852	8.5264	4.3625	synthetic	synthetic	simulated	0.346503	0.878724
1773721297974	0	0	active_ready	false	0.016970	0.084335	0.240884	0.966734	28.3156	8.9101	4.2632	synthetic	synthetic	simulated	0.314618	0.889884
1773721298079	0	0	active_ready	false	0.018067	0.086361	0.210608	0.973581	24.7487	9.2388	4.1573	synthetic	synthetic	simulated	0.274986	0.903755
1773721298184	0	0	active_ready	false	0.019812	0.087797	0.174962	0.980453	20.5725	9.5106	4.0451	synthetic	synthetic	simulated	0.228583	0.919996
1773721298288	0	0	active_ready	false	0.022101	0.088609	0.134766	0.986660	15.8897	9.7237	3.9266	synthetic	synthetic	simulated	0.176552	0.938207
1773721298392	0	0	active_ready	false	0.024794	0.088770	0.090999	0.991577	10.8156	9.8769	3.8020	synthetic	synthetic	simulated	0.120173	0.957939
1773721298497	0	0	active_ready	false	0.027730	0.088268	0.044777	0.994703	5.4752	9.9692	3.6716	synthetic	synthetic	simulated	0.060836	0.978708
