timestamp_ms	sequence	packet_count	readiness_state	send_gate_open	qx	qy	qz	qw	yaw_deg	pitch_deg	roll_deg	sensor_location	mode	connection	motion_norm	stability_norm
1773721284109	4194758157	1	active_ready	true	0.043619	0.000000	0.000000	0.999048	0.0000	0.0000	5.0000	synthetic	synthetic	simulated	0.000000	1.000000
1773721284212	4194758158	2	active_ready	true	0.043208	0.008914	0.047417	0.997900	5.4752	0.7846	4.9961	synthetic	synthetic	simulated	0.060836	0.978708
1773721284317	4194758159	3	active_ready	true	0.042002	0.017675	0.093555	0.994571	10.8156	1.5643	4.9846	synthetic	synthetic	simulated	0.120173	0.957939
1773721284421	4194758160	4	active_ready	true	0.040080	0.026142	0.137187	0.989389	15.8897	2.3345	4.9653	synthetic	synthetic	simulated	0.176552	0.938207
1773721284526	4194758161	5	active_ready	true	0.037565	0.034196	0.177192	0.982864	20.5725	3.0902	4.9384	synthetic	synthetic	simulated	0.228583	0.919996
1773721284632	4194758162	6	active_ready	true	0.034616	0.041747	0.212588	0.975636	24.7487	3.8268	4.9039	synthetic	synthetic	simulated	0.274986	0.903755
1773721284734	4194758163	7	active_ready	true	0.031415	0.048736	0.242552	0.968404	28.3156	4.5399	4.8618	synthetic	synthetic	simulated	0.314618	0.889884
1773721284836	4194758164	8	active_ready	true	0.028154	0.055138	0.266436	0.961862	31.1852	5.2250	4.8123	synthetic	synthetic	simulated	0.346503	0.878724
1773721284940	4194758165	9	active_ready	true	0.025023	0.060948	0.283755	0.956631	33.2870	5.8779	4.7553	synthetic	synthetic	simulated	0.369855	0.870551
1773721285041	4194758166	10	active_ready	true	0.022198	0.066181	0.294178	0.953198	34.5691	6.4945	4.6910	synthetic	synthetic	simulated	0.384101	0.865565
1773721285147	4194758167	11	active_ready	true	0.019834	0.070861	0.297519	0.951876	35.0000	7.0711	4.6194	synthetic	synthetic	simulated	0.388889	0.863889
1773721285252	4194758168	12	active_ready	true	0.018056	0.075009	0.293723	0.952772	34.5691	7.6041	4.5407	synthetic	synthetic	simulated	0.384101	0.865565
1773721285358	4194758169	13	active_ready	true	0.016958	0.078640	0.282859	0.955782	33.2870	8.0902	4.4550	synthetic	synthetic	simulated	0.369855	0.870551
1773721285461	4194758170	14	active_ready	true	0.016591	0.081753	0.265132	0.960597	31.1852	8.5264	4.3625	synthetic	synthetic	simulated	0.346503	0.878724
1773721285567	4194758171	15	active_ready	true	0.016970	0.084335	0.240884	0.966734	28.3156	8.9101	4.2632	synthetic	synthetic	simulated	0.314618	0.889884
1773721285667	4194758172	16	active_ready	true	0.018067	0.086361	0.210608	0.973581	24.7487	9.2388	4.1573	synthetic	synthetic	simulated	0.274986	0.903755
1773721285772	4194758173	17	active_ready	true	0.019812	0.087797	0.174962	0.980453	20.5725	9.5106	4.0451	synthetic	synthetic	simulated	0.228583	0.919996
1773721285875	4194758174	18	active_ready	true	0.022101	0.088609	0.134766	0.986660	15.8897	9.7237	3.9266	synthetic	synthetic	simulated	0.176552	0.938207
1773721285981	4194758175	19	active_ready	true	0.024794	0.088770	0.090999	0.991577	10.8156	9.8769	3.8020	synthetic	synthetic	simulated	0.120173	0.957939
1773721286086	4194758176	20	active_ready	true	0.027730	0.088268	0.044777	0.994703	5.4752	9.9692	3.6716	synthetic	synthetic	simulated	0.060836	0.978708
1773721286188	4194758177	21	active_ready	true	0.030731	0.087114	-0.002689	0.995721	0.0000	10.0000	3.5355	synthetic	synthetic	simulated	0.000000	1.000000
1773721286294	4194758178	22	active_ready	true	0.033616	0.085341	-0.050131	0.994522	-5.4752	9.9692	3.3940	synthetic	synthetic	simulated	0.060836	0.978708
1773721286395	4194758179	23	active_ready	true	0.036213	0.083007	-0.096285	0.991225	-10.8156	9.8769	3.2472	synthetic	synthetic	simulated	0.120173	0.957939
1773721286500	4194758180	24	active_ready	true	0.038365	0.080190	-0.139939	0.986162	-15.8897	9.7237	3.0955	synthetic	synthetic	simulated	0.176552	0.938207
1773721286606	4194758181	25	active_ready	true	0.039943	0.076977	-0.179984	0.979839	-20.5725	9.5106	2.9389	synthetic	synthetic	simulated	0.228583	0.919996
1773721286711	4194758182	26	active_ready	true	0.040853	0.073465	-0.215446	0.972891	-24.7487	9.2388	2.7779	synthetic	synthetic	simulated	0.274986	0.903755
1773721286817	4194758183	27	active_ready	true	0.041031	0.069739	-0.245508	0.966012	-28.3156	8.9101	2.6125	synthetic	synthetic	simulated	0.314618	0.889884
1773721286921	4194758184	28	active_ready	true	0.040454	0.065872	-0.269517	0.959888	-31.1852	8.5264	2.4431	synthetic	synthetic	simulated	0.346503	0.878724
1773721287025	4194758185	29	active_ready	true	0.039131	0.061914	-0.286985	0.955131	-33.2870	8.0902	2.2700	synthetic	synthetic	simulated	0.369855	0.870551
1773721287129	4194758186	30	active_ready	true	0.037102	0.057889	-0.297570	0.952221	-34.5691	7.6041	2.0933	synthetic	synthetic	simulated	0.384101	0.865565
