check_id	result	detail	artifact
BL059-C1-backlog_doc_exists	PASS	runbook present	/Users/artbox/Documents/Repos/LocusQ/Documentation/backlog/bl-059-calibration-profile-integration-handoff.md
BL059-C2-calibration_engine_exists	PASS	calibration engine source present	/Users/artbox/Documents/Repos/LocusQ/Source/CalibrationEngine.h
BL059-C3-companion_profile_handoff_contract	PASS	test_override_profile_path;companion_profile_poller;profile_clear_path;apvts_device_sync;peq_fir_sofa_tracking_ingest;ui_status_contract_publication;head_tracking_seq_age_visibility;	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/contract_matrix.tsv
BL059-C4-orientation_profile_handoff_invariants	PASS	stale_fallback_reset_path;yaw_offset_composition;renderer_head_tracking_diagnostics;	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/orientation_invariants.tsv
BL059-E1-qa_bin_present	PASS	qa binary present: /Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa	/Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa
BL059-E2-airpods_peq_profile_smoke	PASS	profile fixture airpods_peq_profile_smoke loaded and calibrate smoke exited 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/airpods_peq_profile_smoke.log
BL059-E2-sony_peq_profile_smoke	PASS	profile fixture sony_peq_profile_smoke loaded and calibrate smoke exited 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/sony_peq_profile_smoke.log
BL059-E2-custom_sofa_fir_profile_smoke	PASS	profile fixture custom_sofa_fir_profile_smoke loaded and calibrate smoke exited 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/custom_sofa_fir_profile_smoke.log
BL059-E2-profile_unload_recovery	PASS	missing profile override path preserved calibrate smoke exit 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/profile_unload_recovery.log
BL059-E3-bl053_orientation_dependency_replay	PASS	dependency replay passed	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/bl053_orientation_dependency_replay.log
BL059-E3-bl055_fir_dependency_replay	PASS	dependency replay passed	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/bl055_fir_dependency_replay.log
lane_result	PASS	mode=execute;bl059_lane_pass	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/status.tsv
