participant_id,trial_id,condition,true_angle_deg,response_angle_deg,absolute_error_deg,reaction_time_ms,externalization_rating
P001,T0001,generic_no_eq,0.0,23.85,23.85,1004,2.45
P001,T0002,generic_device_eq,0.0,330.62,29.38,622,2.22
P001,T0003,personalized_no_eq,0.0,339.63,20.37,1121,3.86
P001,T0004,personalized_device_eq,0.0,342.58,17.42,881,3.26
P001,T0005,generic_no_eq,45.0,67.49,22.49,692,2.20
P001,T0006,generic_device_eq,45.0,27.75,17.25,882,2.51
P001,T0007,personalized_no_eq,45.0,34.28,10.72,1175,3.81
P001,T0008,personalized_device_eq,45.0,31.44,13.56,1129,3.49
P001,T0009,generic_no_eq,90.0,68.49,21.51,969,2.70
P001,T0010,generic_device_eq,90.0,105.16,15.16,1079,2.72
P001,T0011,personalized_no_eq,90.0,96.37,6.37,724,3.25
P001,T0012,personalized_device_eq,90.0,79.38,10.62,708,3.43
P001,T0013,generic_no_eq,135.0,94.34,40.66,840,2.45
P001,T0014,generic_device_eq,135.0,166.01,31.01,1160,2.65
P001,T0015,personalized_no_eq,135.0,124.49,10.51,905,3.29
P001,T0016,personalized_device_eq,135.0,122.33,12.67,1167,3.85
P001,T0017,generic_no_eq,180.0,143.59,36.41,846,2.47
P001,T0018,generic_device_eq,180.0,169.11,10.89,1051,2.51
P001,T0019,personalized_no_eq,180.0,166.89,13.11,1221,3.92
P001,T0020,personalized_device_eq,180.0,190.97,10.97,1229,3.78
P001,T0021,generic_no_eq,225.0,191.40,33.60,986,2.21
P001,T0022,generic_device_eq,225.0,255.99,30.99,788,2.49
P001,T0023,personalized_no_eq,225.0,214.92,10.08,913,3.56
P001,T0024,personalized_device_eq,225.0,210.16,14.84,912,3.81
P001,T0025,generic_no_eq,270.0,238.52,31.48,798,2.88
P001,T0026,generic_device_eq,270.0,302.13,32.13,903,1.71
P001,T0027,personalized_no_eq,270.0,254.42,15.58,897,3.67
P001,T0028,personalized_device_eq,270.0,278.23,8.23,819,3.73
P001,T0029,generic_no_eq,315.0,291.27,23.73,1391,2.67
P001,T0030,generic_device_eq,315.0,335.32,20.32,940,3.00
P001,T0031,personalized_no_eq,315.0,327.16,12.16,1130,3.69
P001,T0032,personalized_device_eq,315.0,305.99,9.01,1278,3.99
P002,T0033,generic_no_eq,0.0,348.47,11.53,812,2.37
P002,T0034,generic_device_eq,0.0,340.40,19.60,823,3.06
P002,T0035,personalized_no_eq,0.0,342.47,17.53,1015,3.48
P002,T0036,personalized_device_eq,0.0,337.25,22.75,1118,4.00
P002,T0037,generic_no_eq,45.0,7.73,37.27,1157,2.71
P002,T0038,generic_device_eq,45.0,13.44,31.56,1404,2.44
P002,T0039,personalized_no_eq,45.0,33.67,11.33,953,3.80
P002,T0040,personalized_device_eq,45.0,54.11,9.11,1092,3.36
P002,T0041,generic_no_eq,90.0,119.14,29.14,1252,2.65
P002,T0042,generic_device_eq,90.0,63.66,26.34,1014,2.97
P002,T0043,personalized_no_eq,90.0,72.91,17.09,1049,3.74
P002,T0044,personalized_device_eq,90.0,76.78,13.22,1227,3.64
P002,T0045,generic_no_eq,135.0,147.56,12.56,1010,2.38
P002,T0046,generic_device_eq,135.0,169.05,34.05,1084,2.55
P002,T0047,personalized_no_eq,135.0,144.28,9.28,1044,3.83
P002,T0048,personalized_device_eq,135.0,121.51,13.49,1120,4.15
P002,T0049,generic_no_eq,180.0,153.80,26.20,1080,2.36
P002,T0050,generic_device_eq,180.0,213.12,33.12,1204,2.64
P002,T0051,personalized_no_eq,180.0,163.33,16.67,1723,3.62
P002,T0052,personalized_device_eq,180.0,157.86,22.14,912,4.37
P002,T0053,generic_no_eq,225.0,252.80,27.80,603,2.35
P002,T0054,generic_device_eq,225.0,198.13,26.87,1011,2.51
P002,T0055,personalized_no_eq,225.0,229.41,4.41,932,4.14
P002,T0056,personalized_device_eq,225.0,249.04,24.04,1139,3.84
P002,T0057,generic_no_eq,270.0,234.68,35.32,999,2.42
P002,T0058,generic_device_eq,270.0,292.26,22.26,993,1.91
P002,T0059,personalized_no_eq,270.0,246.61,23.39,1045,4.34
P002,T0060,personalized_device_eq,270.0,256.82,13.18,869,3.60
P002,T0061,generic_no_eq,315.0,277.73,37.27,950,2.93
P002,T0062,generic_device_eq,315.0,291.08,23.92,1129,2.15
P002,T0063,personalized_no_eq,315.0,313.87,1.13,916,3.60
P002,T0064,personalized_device_eq,315.0,325.44,10.44,1182,3.34
P003,T0065,generic_no_eq,0.0,337.16,22.84,1278,2.75
P003,T0066,generic_device_eq,0.0,334.35,25.65,1062,2.69
P003,T0067,personalized_no_eq,0.0,346.33,13.67,1139,4.39
P003,T0068,personalized_device_eq,0.0,348.96,11.04,1095,3.35
P003,T0069,generic_no_eq,45.0,27.45,17.55,874,3.32
P003,T0070,generic_device_eq,45.0,28.85,16.15,960,2.65
P003,T0071,personalized_no_eq,45.0,27.86,17.14,962,3.79
P003,T0072,personalized_device_eq,45.0,68.10,23.10,1272,3.82
P003,T0073,generic_no_eq,90.0,65.81,24.19,1176,2.85
P003,T0074,generic_device_eq,90.0,119.60,29.60,1049,2.76
P003,T0075,personalized_no_eq,90.0,63.59,26.41,986,4.31
P003,T0076,personalized_device_eq,90.0,97.41,7.41,964,3.56
P003,T0077,generic_no_eq,135.0,98.46,36.54,636,2.34
P003,T0078,generic_device_eq,135.0,114.29,20.71,1025,2.42
P003,T0079,personalized_no_eq,135.0,129.21,5.79,1111,4.22
P003,T0080,personalized_device_eq,135.0,122.44,12.56,838,3.56
P003,T0081,generic_no_eq,180.0,170.17,9.83,1131,2.28
P003,T0082,generic_device_eq,180.0,157.64,22.36,946,3.04
P003,T0083,personalized_no_eq,180.0,195.99,15.99,1042,3.65
P003,T0084,personalized_device_eq,180.0,171.05,8.95,1350,3.64
P003,T0085,generic_no_eq,225.0,262.63,37.63,1063,2.88
P003,T0086,generic_device_eq,225.0,264.51,39.51,1300,2.17
P003,T0087,personalized_no_eq,225.0,207.06,17.94,870,3.55
P003,T0088,personalized_device_eq,225.0,207.11,17.89,967,3.94
P003,T0089,generic_no_eq,270.0,289.91,19.91,1092,2.26
P003,T0090,generic_device_eq,270.0,293.52,23.52,1462,2.83
P003,T0091,personalized_no_eq,270.0,284.72,14.72,801,3.84
P003,T0092,personalized_device_eq,270.0,293.69,23.69,852,3.42
P003,T0093,generic_no_eq,315.0,332.12,17.12,1206,2.76
P003,T0094,generic_device_eq,315.0,287.64,27.36,1057,2.42
P003,T0095,personalized_no_eq,315.0,327.24,12.24,947,3.47
P003,T0096,personalized_device_eq,315.0,327.35,12.35,987,3.26
P004,T0097,generic_no_eq,0.0,340.70,19.30,1106,2.91
P004,T0098,generic_device_eq,0.0,36.05,36.05,612,2.21
P004,T0099,personalized_no_eq,0.0,348.80,11.20,954,3.53
P004,T0100,personalized_device_eq,0.0,18.89,18.89,1047,3.38
P004,T0101,generic_no_eq,45.0,17.95,27.05,911,2.83
P004,T0102,generic_device_eq,45.0,64.51,19.51,1273,3.12
P004,T0103,personalized_no_eq,45.0,29.51,15.49,1037,3.96
P004,T0104,personalized_device_eq,45.0,61.47,16.47,780,3.31
P004,T0105,generic_no_eq,90.0,81.03,8.97,961,2.67
P004,T0106,generic_device_eq,90.0,107.28,17.28,1292,2.52
P004,T0107,personalized_no_eq,90.0,65.00,25.00,1025,3.72
P004,T0108,personalized_device_eq,90.0,100.85,10.85,1047,3.92
P004,T0109,generic_no_eq,135.0,165.12,30.12,706,2.23
P004,T0110,generic_device_eq,135.0,139.35,4.35,870,3.10
P004,T0111,personalized_no_eq,135.0,142.73,7.73,1122,3.39
P004,T0112,personalized_device_eq,135.0,126.61,8.39,773,3.69
P004,T0113,generic_no_eq,180.0,204.65,24.65,1024,2.73
P004,T0114,generic_device_eq,180.0,164.66,15.34,1079,2.48
P004,T0115,personalized_no_eq,180.0,193.94,13.94,1064,3.93
P004,T0116,personalized_device_eq,180.0,166.53,13.47,1306,3.75
P004,T0117,generic_no_eq,225.0,249.21,24.21,891,2.39
P004,T0118,generic_device_eq,225.0,192.17,32.83,1201,2.58
P004,T0119,personalized_no_eq,225.0,203.43,21.57,1212,3.48
P004,T0120,personalized_device_eq,225.0,231.99,6.99,1069,2.99
P004,T0121,generic_no_eq,270.0,292.61,22.61,684,2.78
P004,T0122,generic_device_eq,270.0,248.10,21.90,1012,2.26
P004,T0123,personalized_no_eq,270.0,279.07,9.07,938,3.73
P004,T0124,personalized_device_eq,270.0,266.35,3.65,970,4.07
P004,T0125,generic_no_eq,315.0,281.07,33.93,1183,2.28
P004,T0126,generic_device_eq,315.0,344.26,29.26,1141,2.60
P004,T0127,personalized_no_eq,315.0,326.91,11.91,1014,3.99
P004,T0128,personalized_device_eq,315.0,324.16,9.16,1083,3.70
P005,T0129,generic_no_eq,0.0,34.89,34.89,1012,2.55
P005,T0130,generic_device_eq,0.0,332.02,27.98,511,2.52
P005,T0131,personalized_no_eq,0.0,344.62,15.38,1016,3.76
P005,T0132,personalized_device_eq,0.0,338.22,21.78,945,3.51
P005,T0133,generic_no_eq,45.0,24.26,20.74,595,2.01
P005,T0134,generic_device_eq,45.0,32.72,12.28,882,2.53
P005,T0135,personalized_no_eq,45.0,57.05,12.05,612,4.07
P005,T0136,personalized_device_eq,45.0,53.99,8.99,1192,3.32
P005,T0137,generic_no_eq,90.0,54.12,35.88,1276,2.71
P005,T0138,generic_device_eq,90.0,56.78,33.22,752,2.61
P005,T0139,personalized_no_eq,90.0,112.16,22.16,1262,3.79
P005,T0140,personalized_device_eq,90.0,71.36,18.64,699,4.03
P005,T0141,generic_no_eq,135.0,176.05,41.05,943,2.97
P005,T0142,generic_device_eq,135.0,151.75,16.75,701,2.00
P005,T0143,personalized_no_eq,135.0,151.03,16.03,934,3.37
P005,T0144,personalized_device_eq,135.0,115.95,19.05,1215,3.64
P005,T0145,generic_no_eq,180.0,205.03,25.03,879,2.11
P005,T0146,generic_device_eq,180.0,213.00,33.00,1126,2.59
P005,T0147,personalized_no_eq,180.0,196.62,16.62,774,3.44
P005,T0148,personalized_device_eq,180.0,167.48,12.52,1164,4.11
P005,T0149,generic_no_eq,225.0,236.56,11.56,859,2.54
P005,T0150,generic_device_eq,225.0,207.38,17.62,1078,2.68
