run_index	check_id	result	detail	artifact
1	BL076-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
1	BL076-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
1	BL076-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
1	BL076-BP-004	PASS	UI payload parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
1	BL076-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
1	BL076-BP-signature-hash	PASS	baseline bridge signature hash=ec11c5b3b29a988a391df000a853ca6eb7dafd490c9056c746307417c7309e4e	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
2	BL076-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
2	BL076-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
2	BL076-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
2	BL076-BP-004	PASS	UI payload parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
2	BL076-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
2	BL076-BP-signature-hash	PASS	bridge signature stable vs baseline ec11c5b3b29a988a391df000a853ca6eb7dafd490c9056c746307417c7309e4e	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
3	BL076-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
3	BL076-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
3	BL076-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
3	BL076-BP-004	PASS	UI payload parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
3	BL076-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
3	BL076-BP-signature-hash	PASS	bridge signature stable vs baseline ec11c5b3b29a988a391df000a853ca6eb7dafd490c9056c746307417c7309e4e	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
4	BL076-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
4	BL076-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
4	BL076-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
4	BL076-BP-004	PASS	UI payload parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
4	BL076-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
4	BL076-BP-signature-hash	PASS	bridge signature stable vs baseline ec11c5b3b29a988a391df000a853ca6eb7dafd490c9056c746307417c7309e4e	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
5	BL076-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
5	BL076-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
5	BL076-BP-003	PASS	bridge payload includes nativeBridgeDiagnostics object	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
5	BL076-BP-004	PASS	UI payload parser checks native bridge diagnostics schema key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
5	BL076-BP-005	PASS	UI parser ingests snapshotSchema contract key	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
5	BL076-BP-signature-hash	PASS	bridge signature stable vs baseline ec11c5b3b29a988a391df000a853ca6eb7dafd490c9056c746307417c7309e4e	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
