check_id	result	detail	artifact
BL076-PRE-SpatialRenderer.h	PASS	required file present	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
BL076-PRE-SpatialRendererTypes.h	PASS	required file present	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialRendererTypes.h
BL076-PRE-SpatialProfileRouter.h	PASS	required file present	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialProfileRouter.h
BL076-PRE-ProcessorSceneStateBridgeOps.h	PASS	required file present	/Users/artbox/Documents/Repos/LocusQ/Source/processor_bridge/ProcessorSceneStateBridgeOps.h
BL076-PRE-index.js	PASS	required file present	/Users/artbox/Documents/Repos/LocusQ/Source/ui/public/js/index.js
BL076-PRE-rt-safety-audit.sh	PASS	required file present	/Users/artbox/Documents/Repos/LocusQ/scripts/rt-safety-audit.sh
BL076-R1-SG-001	PASS	SpatialRenderer.h lines=982 <= 5000	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-SG-002	PASS	module files=10	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-SG-003	PASS	SpatialRenderer.h includes SpatialRendererTypes.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-SG-004	PASS	SpatialRenderer.h includes SpatialProfileRouter.h	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialAuditionEngine.h	PASS	SpatialAuditionEngine.h lines=200 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialAuditionPrimitives.h	PASS	SpatialAuditionPrimitives.h lines=183 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialEmitterRenderPass.h	PASS	SpatialEmitterRenderPass.h lines=88 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialHeadphoneCompensation.h	PASS	SpatialHeadphoneCompensation.h lines=101 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialHeadphonePose.h	PASS	SpatialHeadphonePose.h lines=202 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	PASS	SpatialHeadphonePoseAndCompensation.h lines=4 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialPostFxChain.h	PASS	SpatialPostFxChain.h lines=59 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
BL076-R1-BL076-SG-H-SpatialProfileRouter.h	PASS	SpatialProfileRouter.h lines=220 <= 250	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/spatial_renderer_structure_guardrails.tsv
