step	status	detail
init	pass	ts=20260223T031450Z
config	pass	instance_count=3; start_stagger_sec=1; skip_install=0; require_locusq=1; bootstrap_timeout_sec=45; render_timeout_sec=90; check_crash_reports=1
preflight_reaper_bin	pass	/Applications/REAPER.app/Contents/MacOS/REAPER
preflight_headless_script	pass	/Users/artbox/Documents/Repos/LocusQ/scripts/reaper-headless-render-smoke-mac.sh
preflight_jq	pass	/usr/bin/jq
clean_cache_build_install	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/clean_cache_build_install.log
clean_cache_preflight_reaper_running	pass	reaper_not_running
clean_cache_launch_1	pass	pid=5895; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/clean_cache/instance_1.log
clean_cache_launch_2	pass	pid=5930; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/clean_cache/instance_2.log
clean_cache_launch_3	pass	pid=5976; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/clean_cache/instance_3.log
clean_cache_instance_1	pass	renderExitCode=0; renderAttempts=1; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T031559Z/status.json
clean_cache_instance_2	pass	renderExitCode=0; renderAttempts=1; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T031600Z/status.json
clean_cache_instance_3	pass	renderExitCode=0; renderAttempts=1; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T031601Z/status.json
clean_cache_postcheck_reaper_processes	pass	reaper_processes_clean
clean_cache_crash_reports	pass	new_reports=0
clean_cache_phase	pass	instances=3
warm_cache_preflight_reaper_running	pass	reaper_not_running
warm_cache_launch_1	pass	pid=6209; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/warm_cache/instance_1.log
warm_cache_launch_2	pass	pid=6248; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/warm_cache/instance_2.log
warm_cache_launch_3	pass	pid=6311; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/hx03_reaper_multi_instance_20260223T031450Z/warm_cache/instance_3.log
warm_cache_instance_1	pass	renderExitCode=0; renderAttempts=1; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T031603Z/status.json
warm_cache_instance_2	pass	renderExitCode=0; renderAttempts=1; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T031604Z/status.json
warm_cache_instance_3	pass	renderExitCode=0; renderAttempts=1; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_headless_render_20260223T031605Z/status.json
warm_cache_postcheck_reaper_processes	pass	reaper_processes_clean
warm_cache_crash_reports	pass	new_reports=0
warm_cache_phase	pass	instances=3
