phase	P8
timestamp	2026-03-18T00:00:00Z
probe	locusq_physics_tier_a_probe
checks_passed	12
checks_total	12
result	PASS
dsp_bridge_clamp_nan	PASS
dsp_bridge_clamp_inf	PASS
dsp_bridge_boundary_values	PASS
spring_frequency_accuracy	PASS|error_pct=0.55%
turbulence_bounded	PASS|observed_max=11.1N<98.0N
angular_aim_no_nan	PASS|5000ticks_adversarial
angular_aim_sweep_cardioid	PASS|dot=0.007_expected=0.0_tol=0.10
boids_determinism_3_runs	PASS|bit_exact_3runs
collision_determinism_3_runs	PASS|bit_exact_3runs
collision_finite_safe	PASS|100_rapid_collisions
worker_tick_rate_240hz	PASS|ratio=1.007
worker_stall_guard	PASS|pos_held_during_pause
